step,time_s,input_acc_m_s2,input_vel_m_s,incident_force,base_relative_velocity_m_s,dashpot_force,net_boundary_force,base_relative_displacement_m,base_relative_acceleration_m_s2,surface_acceleration_m_s2,impedance_c
0,0.0000000000e+00,5.4892463220e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9367991845e+03
1,5.0000000000e-03,5.7789307170e-05,2.8170442597e-07,1.0912098050e-03,4.3191293957e-07,8.3652862915e-04,2.5468117585e-04,1.6692308071e-09,-4.0004518322e-05,6.1034095262e-17,1.9367991845e+03
2,1.0000000000e-02,6.0572109870e-05,5.7760796857e-07,2.2374212850e-03,7.8774504475e-07,1.5257039603e-03,7.1171732473e-04,5.2370372702e-09,-3.5044575891e-05,1.4371478250e-13,1.9367991845e+03
3,1.5000000000e-02,6.3485424810e-05,8.8775180527e-07,3.4387939450e-03,1.2136743703e-06,2.3506435307e-03,1.0881504143e-03,1.0792041749e-08,-3.2299189841e-05,4.9462075741e-11,1.9367991845e+03
4,2.0000000000e-02,6.6576810870e-05,1.2129073945e-06,4.6983161050e-03,1.6358665707e-06,3.1683450400e-03,1.5299710650e-03,1.8517805975e-08,-4.0727622457e-05,3.6461101505e-09,1.9367991845e+03
5,2.5000000000e-02,6.9771456990e-05,1.5537780641e-06,6.0187121750e-03,2.0790438907e-06,4.0266905121e-03,1.9920216629e-03,2.8408421805e-08,-3.6016839911e-05,1.0798283209e-07,1.9367991845e+03
6,3.0000000000e-02,7.2800578980e-05,1.9102081540e-06,7.3993791900e-03,2.5562240289e-06,4.9508926146e-03,2.4484865754e-03,4.0647073417e-08,-3.9914506086e-05,1.5690152051e-06,1.9367991845e+03
7,3.5000000000e-02,7.5753124110e-05,2.2815924118e-06,8.8379726450e-03,3.0353026937e-06,5.8787717819e-03,2.9592008631e-03,5.5299526291e-08,-4.1677066600e-05,1.2581920485e-05,1.9367991845e+03
8,4.0000000000e-02,7.8867210510e-05,2.6681432483e-06,1.0335315335e-02,3.5467042954e-06,6.8692539871e-03,3.4660613479e-03,7.2449092418e-08,-3.9863236804e-05,5.9173227112e-05,1.9367991845e+03
9,4.5000000000e-02,8.1958684860e-05,3.0702079867e-06,1.1892752650e-02,4.0746241022e-06,7.8917286384e-03,4.0010240116e-03,9.2238412593e-08,-4.3929984255e-05,1.6346653665e-04,1.9367991845e+03
10,5.0000000000e-02,8.5431140370e-05,3.4886825498e-06,1.3513755035e-02,4.6199943304e-06,8.9480012515e-03,4.5657537835e-03,1.1473087335e-07,-4.2882651036e-05,2.4664441271e-04,1.9367991845e+03
11,5.5000000000e-02,8.8886732490e-05,3.9244772320e-06,1.5201848605e-02,5.1956408352e-06,1.0062912933e-02,5.1389356725e-03,1.4006378297e-07,-4.4314929786e-05,1.7936841359e-04,1.9367991845e+03
12,6.0000000000e-02,9.1260507240e-05,4.3748453313e-06,1.6946393740e-02,5.7852331001e-06,1.1204834750e-02,5.7415589896e-03,1.6833631362e-07,-4.5721366619e-05,9.3432589982e-05,1.9367991845e+03
13,6.5000000000e-02,9.3432558960e-05,4.8365779968e-06,1.8734960640e-02,6.3928049824e-06,1.2381579477e-02,6.3533811634e-03,1.9961829244e-07,-4.5413606205e-05,2.0340421844e-04,1.9367991845e+03
14,7.0000000000e-02,9.6399044100e-05,5.3111570044e-06,2.0573289110e-02,7.0221085729e-06,1.3600414158e-02,6.9728749525e-03,2.3401799505e-07,-4.6009210974e-05,2.6822991367e-04,1.9367991845e+03
15,7.5000000000e-02,9.9695204100e-05,5.8013926249e-06,2.2472265010e-02,7.6870937217e-06,1.4888356851e-02,7.5839081587e-03,2.7167136285e-07,-4.1344720469e-05,1.3405926777e-04,1.9367991845e+03
16,8.0000000000e-02,1.0330675560e-04,6.3088975242e-06,2.4438135160e-02,8.4275806972e-06,1.6322531422e-02,8.1156037383e-03,3.1285307069e-07,-2.8129650327e-05,1.8381298515e-04,1.9367991845e+03
17,8.5000000000e-02,1.0862691480e-04,6.8387317002e-06,2.6490499960e-02,9.2972042309e-06,1.8006817573e-02,8.4836823874e-03,3.5808271244e-07,-5.8787960704e-06,3.0903556204e-04,1.9367991845e+03
18,9.0000000000e-02,1.1311940430e-04,7.3930974979e-06,2.8637890410e-02,1.0330209313e-05,2.0007540973e-02,8.6303494368e-03,4.0811243198e-07,1.6676206982e-05,1.6346640490e-04,1.9367991845e+03
19,9.5000000000e-02,1.1396120040e-04,7.9607990097e-06,3.0836938060e-02,1.1464037608e-05,2.2203538691e-02,8.6333993693e-03,4.6361597336e-07,1.1164261497e-05,1.9678650609e-04,1.9367991845e+03
20,1.0000000000e-01,1.1441854260e-04,8.5317483672e-06,3.3048566560e-02,1.2559662533e-05,2.4325544152e-02,8.7230224078e-03,5.2473659603e-07,-8.9391876697e-06,3.4389452258e-04,1.9367991845e+03
21,1.0500000000e-01,1.1737821960e-04,9.1112402727e-06,3.5293285460e-02,1.3551134316e-05,2.6245825893e-02,9.0474595673e-03,5.9109093364e-07,-2.8344505205e-05,1.6661668761e-04,1.9367991845e+03
22,1.1000000000e-01,1.2126582450e-04,9.7078503829e-06,3.7604313410e-02,1.4576424216e-05,2.8231606535e-02,9.3727068746e-03,6.6243238429e-07,-4.5663280564e-06,2.3947041064e-04,1.9367991845e+03
23,1.1500000000e-01,1.2452755140e-04,1.0322333823e-05,3.9984575460e-02,1.5804713291e-05,3.0610555813e-02,9.3740196473e-03,7.3942141884e-07,2.7364986663e-05,3.7567649825e-04,1.9367991845e+03
24,1.2000000000e-01,1.2731594580e-04,1.0951942566e-05,4.2423426860e-02,1.7103724107e-05,3.3126478902e-02,9.2969479578e-03,8.2286666363e-07,3.3592528240e-06,1.2492451153e-04,1.9367991845e+03
25,1.2500000000e-01,1.3041158940e-04,1.1596261404e-05,4.4919259260e-02,1.8195894705e-05,3.5241794026e-02,9.6774652341e-03,9.1237185967e-07,-4.6501554459e-05,2.7184990460e-04,1.9367991845e+03
26,1.3000000000e-01,1.3350870450e-04,1.2256062138e-05,4.7475062310e-02,1.9304474564e-05,3.7388890593e-02,1.0086171717e-02,1.0071914820e-06,1.0615964131e-05,3.5391728917e-04,1.9367991845e+03
27,1.3500000000e-01,1.3833944280e-04,1.2935682507e-05,5.0107638660e-02,2.0811158871e-05,4.0307035530e-02,9.8006031303e-03,1.1085929252e-06,5.9222040525e-05,5.0947078720e-05,1.9367991845e+03
28,1.4000000000e-01,1.4615320590e-04,1.3646914128e-05,5.2862664310e-02,2.2220768740e-05,4.3037166775e-02,9.8254975345e-03,1.2176603948e-06,-4.6646879675e-05,3.3009306801e-04,1.9367991845e+03
29,1.4500000000e-01,1.4796413190e-04,1.4382207473e-05,5.5710895410e-02,2.3282696692e-05,4.5093907966e-02,1.0616987444e-02,1.3327281774e-06,-4.0035357189e-05,3.3058400451e-04,1.9367991845e+03
30,1.5000000000e-01,1.4804839980e-04,1.5122238802e-05,5.8577479560e-02,2.4845490157e-05,4.8120725074e-02,1.0456754486e-02,1.4541071914e-06,9.1692484906e-05,1.1552360472e-04,1.9367991845e+03
31,1.5500000000e-01,1.5539442210e-04,1.5880845857e-05,6.1516018610e-02,2.6552224142e-05,5.1426326065e-02,1.0089692545e-02,1.5841973527e-06,-2.0788614967e-05,4.6460780130e-04,1.9367991845e+03
32,1.6000000000e-01,1.5838804170e-04,1.6665302016e-05,6.4554686710e-02,2.7618770012e-05,5.3492011236e-02,1.1062675474e-02,1.7211723080e-06,-8.6558608126e-05,1.3445708462e-04,1.9367991845e+03
33,1.6500000000e-01,1.5600627180e-04,1.7451287800e-05,6.7599279960e-02,2.9156472670e-05,5.6470232490e-02,1.1129047470e-02,1.8641393968e-06,1.0028010264e-04,1.3630617723e-04,1.9367991845e+03
34,1.7000000000e-01,1.5656151780e-04,1.8232707274e-05,7.0626185160e-02,3.0998892049e-05,6.0038628841e-02,1.0587556319e-02,2.0161757045e-06,-1.6623732217e-05,6.5573515452e-04,1.9367991845e+03
35,1.7500000000e-01,1.6394452380e-04,1.9033972378e-05,7.3729964360e-02,3.1968307450e-05,6.1916191799e-02,1.1813772561e-02,2.1752675560e-06,-1.2739345838e-04,4.2953821723e-05,1.9367991845e+03
36,1.8000000000e-01,1.7600013090e-04,1.9883834015e-05,7.7021987010e-02,3.3543084006e-05,6.4966217749e-02,1.2055769261e-02,2.3400865756e-06,1.0185932419e-04,2.2569759658e-04,1.9367991845e+03
37,1.8500000000e-01,1.7655341490e-04,2.0765217879e-05,8.0436114110e-02,3.5603674142e-05,6.8957167043e-02,1.1478947067e-02,2.5148077027e-06,-2.5080406826e-05,5.5655268803e-04,1.9367991845e+03
38,1.9000000000e-01,1.7400722940e-04,2.1641619490e-05,8.3830941960e-02,3.6617001067e-05,7.0919777805e-02,1.2911164155e-02,2.6971743752e-06,-1.3670095915e-04,8.6836735235e-05,1.9367991845e+03
39,1.9500000000e-01,1.8388344690e-04,2.2536346181e-05,8.7296753810e-02,3.8394915660e-05,7.4363241340e-02,1.2933512470e-02,2.8857181184e-06,1.5743145211e-04,5.8070531056e-04,1.9367991845e+03
40,2.0000000000e-01,1.8710053830e-04,2.3463806144e-05,9.0889361210e-02,4.0663550587e-05,7.8757131615e-02,1.2132229595e-02,3.0854637508e-06,-4.3618454735e-05,9.5637280569e-05,1.9367991845e+03
41,2.0500000000e-01,1.8150099030e-04,2.4385309965e-05,9.4458896910e-02,4.1523299081e-05,8.0422291798e-02,1.4036605112e-02,3.2928790843e-06,-1.7732476177e-04,1.7940338953e-04,1.9367991845e+03
42,2.1000000000e-01,1.8045534240e-04,2.5290200797e-05,9.7964080560e-02,4.3339427650e-05,8.3939768129e-02,1.4024312431e-02,3.5059303991e-06,1.9155989893e-04,1.0918368786e-03,1.9367991845e+03
43,2.1500000000e-01,1.9004510790e-04,2.6216451923e-05,1.0155200541e-01,4.5731380328e-05,8.8572500127e-02,1.2979505283e-02,3.7307679039e-06,-3.3649336288e-05,-5.8630298000e-04,1.9367991845e+03
44,2.2000000000e-01,2.1043960740e-04,2.7217663711e-05,1.0543029776e-01,4.6807921667e-05,9.0657544513e-02,1.4772753247e-02,3.9641705546e-06,-1.4963461391e-04,5.0636910979e-04,1.9367991845e+03
45,2.2500000000e-01,2.3127418350e-04,2.8321948188e-05,1.0970785231e-01,4.9045526593e-05,9.4991335908e-02,1.4716516402e-02,4.2051555969e-06,1.6280485149e-04,1.2765045674e-03,1.9367991845e+03
46,2.3000000000e-01,2.4816847500e-04,2.9520554835e-05,1.1435077306e-01,5.1548071582e-05,9.9838263003e-02,1.4512510057e-02,4.4594198974e-06,-1.4109796419e-04,-9.8477292011e-04,1.9367991845e+03
47,2.3500000000e-01,2.4118738470e-04,3.0743944484e-05,1.1908969321e-01,5.2950050519e-05,1.0255361467e-01,1.6536078544e-02,4.7226958600e-06,-5.3261106762e-05,9.6479190902e-04,1.9367991845e+03
48,2.4000000000e-01,2.1197595150e-04,3.1876852824e-05,1.2347812511e-01,5.5701959783e-05,1.0788351028e-01,1.5594614827e-02,4.9958414586e-06,2.0374663376e-04,1.1228719581e-03,1.9367991845e+03
49,2.4500000000e-01,2.0267970120e-04,3.2913491956e-05,1.2749364876e-01,5.7583479225e-05,1.1152763560e-01,1.5966013156e-02,5.2818374299e-06,-2.5489716960e-04,-8.0909604400e-04,1.9367991845e+03
50,2.5000000000e-01,2.2459445640e-04,3.3981677350e-05,1.3163136996e-01,5.8644576001e-05,1.1358276698e-01,1.8048602985e-02,5.5736414930e-06,7.6535769369e-05,1.1556173815e-03,1.9367991845e+03
51,2.5500000000e-01,2.2983142680e-04,3.5117742058e-05,1.3603202836e-01,6.2008254976e-05,1.2009753767e-01,1.5934490689e-02,5.8768208151e-06,2.6543257949e-04,6.9087663529e-04,1.9367991845e+03
52,2.6000000000e-01,2.1555493380e-04,3.6231207960e-05,1.4034514806e-01,6.3794473571e-05,1.2355708439e-01,1.6788063671e-02,6.1944980867e-06,-3.4645993046e-04,-2.9504757787e-04,1.9367991845e+03
53,2.6500000000e-01,2.1151851120e-04,3.7298891572e-05,1.4448092556e-01,6.4828254768e-05,1.2555931097e-01,1.8921614592e-02,6.5169084232e-06,1.5396605152e-04,9.8483291104e-04,1.9367991845e+03
54,2.7000000000e-01,2.1905523990e-04,3.8375325950e-05,1.4865060001e-01,6.8251658412e-05,1.3218975635e-01,1.6460843657e-02,6.8512142589e-06,2.4514025138e-04,8.6303407666e-04,1.9367991845e+03
55,2.7500000000e-01,2.3177174670e-04,3.9502393416e-05,1.5301640671e-01,7.0021618125e-05,1.3561781288e-01,1.7398593828e-02,7.2000165683e-06,-3.0965069721e-04,6.3191256520e-05,1.9367991845e+03
56,2.8000000000e-01,2.5960752360e-04,4.0730841592e-05,1.5777492156e-01,7.1630082513e-05,1.3873308540e-01,1.9041836163e-02,7.5554078716e-06,1.3565248885e-04,1.9606144942e-04,1.9367991845e+03
57,2.8500000000e-01,2.7644207220e-04,4.2070965582e-05,1.6296602366e-01,7.4973604934e-05,1.4520881690e-01,1.7757206764e-02,7.9243784752e-06,7.2963262337e-05,1.3160254934e-03,1.9367991845e+03
58,2.9000000000e-01,2.5394872320e-04,4.3396942570e-05,1.6810232596e-01,7.6996566829e-05,1.4912688784e-01,1.8975438116e-02,8.3071722827e-06,-1.6652448815e-04,-1.1483574419e-04,1.9367991845e+03
59,2.9500000000e-01,2.3712849720e-04,4.4624635621e-05,1.7285791576e-01,7.9254681283e-05,1.5350040208e-01,1.9357513682e-02,8.6994114747e-06,1.0825419691e-04,-1.5161943682e-04,1.9367991845e+03
60,3.0000000000e-01,2.6870423850e-04,4.5889217460e-05,1.7775639791e-01,8.1856342860e-05,1.5853929810e-01,1.9217099812e-02,9.1048663331e-06,-8.1338182465e-05,2.0343878458e-03,1.9367991845e+03
61,3.0500000000e-01,3.0522068820e-04,4.7324029777e-05,1.8331428456e-01,8.4244782798e-05,1.6316522662e-01,2.0149057939e-02,9.5223818808e-06,6.9085576955e-05,-1.2714781991e-03,1.9367991845e+03
62,3.1000000000e-01,3.0401454870e-04,4.8847117869e-05,1.8921411611e-01,8.7783944242e-05,1.7001987162e-01,1.9194244490e-02,9.9551429546e-06,6.9882868050e-05,7.6038604134e-04,1.9367991845e+03
63,3.1500000000e-01,2.5717189680e-04,5.0250083983e-05,1.9464864336e-01,8.9870289890e-05,1.7406070417e-01,2.0587939190e-02,1.0402353432e-05,-1.9118213437e-04,2.0689771219e-03,1.9367991845e+03
64,3.2000000000e-01,2.0865448170e-04,5.1414649929e-05,1.9915970411e-01,9.2423444913e-05,1.7900565274e-01,2.0154051374e-02,1.0859126535e-05,3.3005761431e-04,-2.0118556351e-03,1.9367991845e+03
65,3.2500000000e-01,2.2082525820e-04,5.2488349279e-05,2.0331878416e-01,9.5331388976e-05,1.8463775643e-01,1.8681027733e-02,1.1331491178e-05,-1.2533972706e-04,2.8768790150e-03,1.9367991845e+03
66,3.3000000000e-01,2.6023085100e-04,5.3690989552e-05,2.0797732956e-01,9.6158472071e-05,1.8623965029e-01,2.1737679269e-02,1.1812360267e-05,-9.0372689933e-05,5.7524946077e-04,1.9367991845e+03
67,3.3500000000e-01,2.7001132290e-04,5.5016594987e-05,2.1311219261e-01,1.0002551949e-04,1.9372934458e-01,1.9382848031e-02,1.2304059808e-05,4.8552571153e-04,-1.4065099212e-03,1.9367991845e+03
68,3.4000000000e-01,2.8314132120e-04,5.6399476597e-05,2.1846892056e-01,1.0281226528e-04,1.9912671155e-01,1.9342209012e-02,1.2815460467e-05,-4.3593348683e-04,3.5049945728e-03,1.9367991845e+03
69,3.4500000000e-01,3.4992103230e-04,5.7982132481e-05,2.2459949381e-01,1.0403480908e-04,2.0149453339e-01,2.3104960421e-02,1.3334185864e-05,1.4993868726e-04,-1.4224069065e-03,1.9367991845e+03
70,3.5000000000e-01,3.7205464860e-04,5.9787071683e-05,2.3159110336e-01,1.0917241979e-04,2.1144505362e-01,2.0146049740e-02,1.3869876441e-05,3.1067392322e-04,-1.4191964893e-04,1.9367991845e+03
71,3.5500000000e-01,3.0572021340e-04,6.1481508838e-05,2.3815467236e-01,1.1138058550e-04,2.1572182716e-01,2.2432845197e-02,1.4426096755e-05,-5.9697788069e-04,2.5877453929e-03,1.9367991845e+03
72,3.6000000000e-01,2.6823384900e-04,6.2916393994e-05,2.4371284116e-01,1.1321790101e-04,2.1928033835e-01,2.4432502807e-02,1.4988137111e-05,2.8259562485e-04,-2.1008181160e-03,1.9367991845e+03
73,3.6500000000e-01,3.0866488110e-04,6.4358640819e-05,2.4929952611e-01,1.1806930063e-04,2.2867652518e-01,2.0623000932e-02,1.5569357832e-05,1.0221698015e-04,1.8298987485e-03,1.9367991845e+03
74,3.7000000000e-01,3.2251297140e-04,6.5936585451e-05,2.5541184986e-01,1.1955654442e-04,2.3155701773e-01,2.3854832133e-02,1.6167390705e-05,-4.6944385664e-04,1.2858562633e-03,1.9367991845e+03
75,3.7500000000e-01,2.7697809060e-04,6.7435313106e-05,2.6121731886e-01,1.2248757754e-04,2.3723384029e-01,2.3983478569e-02,1.6773386269e-05,4.5885524743e-04,-9.3392320051e-04,1.9367991845e+03
76,3.8000000000e-01,2.2951377900e-04,6.8701542780e-05,2.6612218406e-01,1.2648103840e-04,2.4496837203e-01,2.1153812033e-02,1.7399389699e-05,-1.1566888536e-04,2.5951700926e-03,1.9367991845e+03
77,3.8500000000e-01,2.3718618000e-04,6.9868292677e-05,2.7064170456e-01,1.2721326601e-04,2.4638654986e-01,2.4255154696e-02,1.8036091859e-05,-1.9712420478e-04,-5.6242434930e-04,1.9367991845e+03
78,3.9000000000e-01,2.4943239540e-04,7.1084839116e-05,2.7535411686e-01,1.3059833786e-04,2.5294275427e-01,2.2411362587e-02,1.8681409166e-05,5.2131001248e-04,6.2863174474e-04,1.9367991845e+03
79,3.9500000000e-01,2.7021605760e-04,7.2383960248e-05,2.8038639036e-01,1.3403051742e-04,2.5959019684e-01,2.0796193521e-02,1.9346853580e-05,-1.3752831341e-04,1.8231207123e-03,1.9367991845e+03
80,4.0000000000e-01,3.1314765870e-04,7.3842369539e-05,2.8603568221e-01,1.3538884902e-04,2.6222101237e-01,2.3814669843e-02,2.0022934181e-05,-9.2638642337e-05,-1.3166575587e-03,1.9367991845e+03
81,4.0500000000e-01,3.7736068140e-04,7.5568640389e-05,2.9272256216e-01,1.3930523838e-04,2.6980627208e-01,2.2916290076e-02,2.0712152361e-05,2.3025837955e-04,2.1204074593e-03,1.9367991845e+03
82,4.1000000000e-01,4.0449671100e-04,7.7523283870e-05,3.0029406596e-01,1.4290923066e-04,2.7678648139e-01,2.3507584568e-02,2.1422196400e-05,-2.6884082314e-04,5.5998345607e-04,1.9367991845e+03
83,4.1500000000e-01,3.5092528200e-04,7.9411838853e-05,3.0760956946e-01,1.4547461695e-04,2.8175511947e-01,2.5854449987e-02,2.2145900784e-05,4.5179355735e-05,-7.6448415261e-04,1.9367991845e+03
84,4.2000000000e-01,3.1368397140e-04,8.1073361986e-05,3.1404564276e-01,1.4950461574e-04,2.8956041784e-01,2.4485224923e-02,2.2885895449e-05,2.2545101823e-04,2.3972593594e-03,1.9367991845e+03
85,4.2500000000e-01,3.7416860550e-04,8.2792993428e-05,3.2070680431e-01,1.5297383198e-04,2.9627959303e-01,2.4427211283e-02,2.3645840895e-05,-1.0958125272e-04,-1.1772388234e-03,1.9367991845e+03
86,4.3000000000e-01,4.4165875680e-04,8.4832561834e-05,3.2860727316e-01,1.5634990860e-04,3.0281837547e-01,2.5788897692e-02,2.4422554900e-05,1.7036322133e-05,5.1707346510e-04,1.9367991845e+03
87,4.3500000000e-01,4.5012547350e-04,8.7062022410e-05,3.3724330801e-01,1.6099776253e-04,3.1182033518e-01,2.5422972827e-02,2.5219715790e-05,1.0680248218e-04,1.6125073581e-03,1.9367991845e+03
88,4.4000000000e-01,4.1831556750e-04,8.9233125012e-05,3.4565328751e-01,1.6511644202e-04,3.1979739025e-01,2.5855897260e-02,2.6039338305e-05,-1.1879764041e-04,-9.4792144013e-04,1.9367991845e+03
89,4.4500000000e-01,3.7382908140e-04,9.1213486635e-05,3.5332441306e-01,1.6814012816e-04,3.2565366311e-01,2.7670749952e-02,2.6875972149e-05,-8.1999511613e-05,2.0642707723e-03,1.9367991845e+03
90,4.5000000000e-01,3.9829159170e-04,9.3143788317e-05,3.6080162651e-01,1.7190891794e-04,3.3295305207e-01,2.7848574443e-02,2.7729180063e-05,1.0597018845e-04,1.0951557034e-03,1.9367991845e+03
91,4.5500000000e-01,4.3851533850e-04,9.5235805643e-05,3.6890526141e-01,1.7605379874e-04,3.4098085383e-01,2.7924407578e-02,2.8603258950e-05,-1.0337053718e-04,-3.4147653830e-04,1.9367991845e+03
92,4.6000000000e-01,4.0527533070e-04,9.7345282316e-05,3.7707652681e-01,1.7906072511e-04,3.4680466638e-01,3.0271860433e-02,2.9494974190e-05,-1.5883776485e-04,1.9545739363e-03,1.9367991845e+03
93,4.6500000000e-01,4.2781105890e-04,9.9427998290e-05,3.8514413201e-01,1.8297360295e-04,3.5438312498e-01,3.0761007026e-02,3.0403266645e-05,9.6995367461e-05,3.4662907013e-04,1.9367991845e+03
94,4.7000000000e-01,5.1434879670e-04,1.0178339793e-04,3.9426800421e-01,1.8718865482e-04,3.6254683401e-01,3.1721170197e-02,3.1333650206e-05,-2.6968967891e-04,3.0713627746e-04,1.9367991845e+03
95,4.7500000000e-01,4.5589336110e-04,1.0420900332e-04,4.0366382531e-01,1.9036736450e-04,3.6870335632e-01,3.4960468985e-02,3.2281531263e-05,-7.1084911030e-05,1.7924114582e-03,1.9367991845e+03
96,4.8000000000e-01,3.5208747270e-04,1.0622895541e-04,4.1148830841e-01,1.9478880558e-04,3.7726679980e-01,3.4221508606e-02,3.3247498123e-05,2.1979762573e-04,5.7500853630e-04,1.9367991845e+03
97,4.8500000000e-01,4.0171891140e-04,1.0811347137e-04,4.1878816636e-01,1.9857098736e-04,3.8459212639e-01,3.4196039973e-02,3.4235000383e-05,-1.3126612857e-04,4.1778429651e-04,1.9367991845e+03
98,4.9000000000e-01,5.0180396490e-04,1.1037227856e-04,4.2753787821e-01,2.0254890590e-04,3.9229655576e-01,3.5241322448e-02,3.5241274463e-05,1.4530905765e-04,1.4040591292e-03,1.9367991845e+03
99,4.9500000000e-01,5.0201164260e-04,1.1288181758e-04,4.3725882446e-01,2.0812874781e-04,4.0310358904e-01,3.4155235422e-02,3.6272602774e-05,5.6201930941e-05,1.1004777859e-03,1.9367991845e+03
100,5.0000000000e-01,3.9667559040e-04,1.1512853566e-04,4.4596170796e-01,2.1162767289e-04,4.0988030428e-01,3.6081403678e-02,3.7326661898e-05,-2.3493206130e-04,1.1145506547e-04,1.9367991845e+03
101,5.0500000000e-01,3.7130477220e-04,1.1704848657e-04,4.5339882666e-01,2.1531186072e-04,4.1701583626e-01,3.6382990399e-02,3.8396485474e-05,2.4302718599e-04,1.7421658550e-03,1.9367991845e+03
102,5.1000000000e-01,5.2485481620e-04,1.1928888554e-04,4.6207723246e-01,2.2036111836e-04,4.2679523433e-01,3.5281998129e-02,3.9490315253e-05,-2.6180021399e-05,1.4752149260e-03,1.9367991845e+03
103,5.1500000000e-01,5.8158604620e-04,1.2205498769e-04,4.7279200126e-01,2.2485633583e-04,4.3550156786e-01,3.7290433399e-02,4.0608425897e-05,-6.1589330005e-05,-2.3140140777e-04,1.9367991845e+03
104,5.2000000000e-01,4.3476448500e-04,1.2459586402e-04,4.8263433566e-01,2.3022568441e-04,4.4590091783e-01,3.6733417835e-02,4.1750194999e-05,1.8398460188e-04,2.3561496363e-03,1.9367991845e+03
105,5.2500000000e-01,3.4494824520e-04,1.2654514585e-04,4.9018507056e-01,2.3409396474e-04,4.5339300000e-01,3.6792070557e-02,4.2915048829e-05,-8.7513865900e-05,3.3842519887e-04,1.9367991845e+03
106,5.3000000000e-01,4.4802603540e-04,1.2852758155e-04,4.9786423026e-01,2.3796778631e-04,4.6089581446e-01,3.6968415804e-02,4.4098141060e-05,1.9586744198e-04,-1.5901820532e-04,1.9367991845e+03
107,5.3500000000e-01,5.6403428850e-04,1.3105773236e-04,5.0766501831e-01,2.4354814615e-04,4.7170385085e-01,3.5961167464e-02,4.5306945801e-05,-1.0584806555e-05,2.8868629795e-03,1.9367991845e+03
108,5.4000000000e-01,5.4266271300e-04,1.3382447486e-04,5.1838226756e-01,2.4801507278e-04,4.8035539070e-01,3.8026876864e-02,4.6541009624e-05,-7.9059165391e-05,-8.5431720062e-04,1.9367991845e+03
109,5.4500000000e-01,4.4585007930e-04,1.3629575684e-04,5.2795502141e-01,2.5356702848e-04,4.9110841398e-01,3.6846607425e-02,4.7798566693e-05,3.3201918998e-04,1.1462233497e-03,1.9367991845e+03
110,5.5000000000e-01,4.4092545930e-04,1.3851269569e-04,5.3654255211e-01,2.5815355616e-04,4.9999159705e-01,3.6550955062e-02,4.9082905381e-05,-1.8347280973e-04,2.2443880441e-03,1.9367991845e+03
111,5.5500000000e-01,4.3807663530e-04,1.4071020093e-04,5.4505480481e-01,2.6196556702e-04,5.0737469657e-01,3.7680108239e-02,5.0386259656e-05,2.1539306607e-04,-7.9854846149e-04,1.9367991845e+03
112,5.6000000000e-01,3.9008444760e-04,1.4278060363e-04,5.5307471336e-01,2.6778208768e-04,5.1864012905e-01,3.4434584310e-02,5.1714305023e-05,2.2754501773e-04,2.7134459345e-03,1.9367991845e+03
113,5.6500000000e-01,3.6669260070e-04,1.4467254625e-04,5.6040333921e-01,2.7067341760e-04,5.2424005448e-01,3.6163284726e-02,5.3064942158e-05,-3.2700412009e-04,2.1684156151e-04,1.9367991845e+03
114,5.7000000000e-01,3.8253584880e-04,1.4654561738e-04,5.6765886446e-01,2.7442233554e-04,5.3150095569e-01,3.6157908771e-02,5.4429519539e-05,4.3312376433e-04,-4.2712385091e-05,1.9367991845e+03
115,5.7500000000e-01,3.6903208950e-04,1.4842453722e-04,5.7493704531e-01,2.7969548836e-04,5.4171399377e-01,3.3223051538e-02,5.5819220860e-05,-1.4155976754e-05,2.7057648597e-03,1.9367991845e+03
116,5.8000000000e-01,2.9243757150e-04,1.5007821138e-04,5.8134271481e-01,2.8197895982e-04,5.4613661942e-01,3.5206095388e-02,5.7226609910e-05,-6.4497016420e-05,-8.1158142490e-04,1.9367991845e+03
117,5.8500000000e-01,3.3696212040e-04,1.5165171061e-04,5.8743781886e-01,2.8654909096e-04,5.5498804569e-01,3.2449773168e-02,5.8649349139e-05,5.8512625539e-04,2.0477744112e-03,1.9367991845e+03
118,5.9000000000e-01,5.2889133690e-04,1.5381634425e-04,5.9582274021e-01,2.9148871352e-04,5.6455510264e-01,3.1267637574e-02,6.0100009121e-05,-2.3144842151e-04,1.1026680982e-03,1.9367991845e+03
119,5.9500000000e-01,6.4467445050e-04,1.5675025872e-04,6.0718754651e-01,2.9582316257e-04,5.7295006002e-01,3.4237486493e-02,6.1572919717e-05,9.0583391415e-05,-5.1545400040e-04,1.9367991845e+03
120,6.0000000000e-01,6.3036087570e-04,1.5993784703e-04,6.1953498341e-01,3.0310084910e-04,5.8704547736e-01,3.2489506046e-02,6.3075523027e-05,2.3611438579e-04,2.7259713314e-03,1.9367991845e+03
121,6.0500000000e-01,5.6777719590e-04,1.6293319221e-04,6.3113774761e-01,3.0810367846e-04,5.9673495319e-01,3.4402794418e-02,6.4610230900e-05,-4.1600070588e-04,-9.7427080322e-04,1.9367991845e+03
122,6.1000000000e-01,4.9462069050e-04,1.6558918693e-04,6.4142600441e-01,3.1240757406e-04,6.0507073467e-01,3.6355269738e-02,6.6164886591e-05,2.5334124248e-04,9.7696367289e-04,1.9367991845e+03
